Project ID,Project Name,Sector,Status,Project Manager,Person Responsible,Start Date,End Date,Budget (KES),County,Longitude,Latitude
P0001,Digital Hub,ICT,Ongoing,Chebet Toroitich,Samuel Ekidor,19/04/2025,27/08/2026,2917313284,Kitui,37.95680412,-2.023002004
P0002,Gishu Water Pipeline,Water,Ongoing,Ahmed Noor,Francis Kiprotich,21/11/2024,02/05/2026,259729599,Kitui,38.18449501,-1.425546923
P0003,Eco-Tourism Project,Tourism,Design,Fatma Hassan,Grace Achieng,25/12/2025,26/03/2027,515666271,Kitui,37.97785453,-1.501155298
P0004,Resort Development,Tourism,Ongoing,Mercy Hussein,Mercy Onyango,10/07/2025,30/03/2026,2877103926,Kitui,38.68139831,-2.93144502
P0005,Highway Upgrade,Transport,Completed,David Kiprotich,Samuel Ekal,04/04/2024,13/11/2024,819670683,Kitui,38.63040679,-2.105570264
P0006,E-Government System,ICT,Design,Joseph Abdalla,Mercy Ekidor,16/11/2025,17/06/2028,817115278,Kitui,38.26708452,-1.971670114
P0007,Agro-Processing Plant,Agriculture,Design,James Mutua,David Ekal,01/12/2025,06/07/2026,1780140697,Kitui,38.54541755,-2.607918035
P0008,Biogas Initiative,Energy,Design,Abdi Chebet,Abdi Noor,12/04/2026,25/01/2027,1447143608,Kitui,38.67075679,-2.333894587
P0009,Cultural Center,Tourism,Ongoing,Daniel Abdalla,James Ekal,22/07/2024,28/09/2026,2666810843,Kitui,38.86993704,-1.989705802
P0010,Wind Farm,Energy,Design,Rebecca Nduku,Joseph Adan,28/12/2025,25/12/2026,729372036,Kitui,38.80915357,-1.903427325
P0011,Bypass Road,Transport,Design,Joseph Chepngeno,David Mutua,22/02/2026,09/09/2026,1319895594,Kitui,38.65059673,-2.968806045
P0012,Agro-Processing Plant,Agriculture,Design,Hassan Kiprotich,Peter Adan,01/01/2026,18/03/2028,1556864727,Kitui,38.19880722,-0.925556423
P0013,Solar Power Plant,Energy,Completed,Janet Kibet,Rose Onyango,05/11/2022,19/10/2023,2643917579,Kitui,38.34783014,-1.24938334
P0014,Affordable Housing,Housing,Completed,Rose Otieno,James Kibet,07/04/2021,28/09/2023,461835466,Kitui,38.65358516,-2.981245546
P0015,Affordable Housing,Housing,Completed,Fatma Cherono,Peter Chepngeno,26/08/2022,26/07/2023,160925425,Kitui,37.99915551,-2.025917536
P0016,Greenhouse Project,Agriculture,Ongoing,Grace Otieno,James Achieng,22/05/2025,23/02/2028,2779672093,Kitui,38.13153249,-1.278217586
P0017,Cultural Center,Tourism,Design,Rebecca Mwangi,Halima Adan,08/12/2025,17/04/2028,1950864987,Kitui,38.18186524,-1.164220169
P0018,Resort Development,Tourism,Completed,Peter Hussein,Ali Kiprotich,22/03/2021,26/02/2023,2265800801,Kitui,38.49063593,-0.845323977
P0019,E-Government System,ICT,Completed,Sarah Hussein,Chebet Kibet,28/11/2022,10/03/2024,2936571044,Kitui,38.49520087,-0.599384516
P0020,Digital Hub,ICT,Completed,Francis Adan,Peter Toroitich,21/11/2022,07/05/2024,2652182699,Kitui,38.20904256,-1.307848808
P0021,Smart City Project,ICT,Ongoing,Francis Mutua,Mercy Chebet,31/01/2025,28/03/2026,955553730,Kitui,38.75908682,-2.138921247
P0022,Sanitation Project,Water,Ongoing,Fatma Kibet,James Hassan,10/01/2025,26/09/2027,2752563785,Kitui,38.61129183,-2.484970487
P0023,Solar Power Plant,Energy,Design,Abdi Chepngeno,Peter Achieng,27/05/2026,01/04/2028,2321233337,Kitui,38.41737651,-1.297080651
P0024,Water Pipeline,Water,Ongoing,Grace Achieng,Hassan Onyango,16/07/2025,02/10/2026,2409993706,Kitui,38.60472125,-1.944610387
P0025,Bypass Road,Transport,Design,Samuel Toroitich,Samuel Hussein,25/10/2025,12/12/2027,2404910210,Kitui,38.70552318,-2.32951804
P0026,Resort Development,Tourism,Design,Peter Cherono,Hassan Ekal,04/01/2026,06/08/2028,593727898,Kitui,38.61347258,-0.462651061
P0027,Digital Learning Center,Education,Design,Rose Kibet,Janet Hassan,19/10/2025,24/02/2028,1830105956,Kitui,38.04555436,-1.222377307
P0028,Farm Input Program,Agriculture,Design,Mercy Onyango,Grace Onyango,02/02/2026,30/05/2027,2003411114,Kitui,37.87427496,-1.627178921
